RowNo,"P1_rph","P2_unique_dns_req","P3_domain_rph","P4_avg_rpm","P5_high_req","P6_mx","P7_ptr","P8_dnsserver","P9_TDL","P10_SDL","P11_unique_ratio","P12_nx","P13_flow_ratio","P14_dnsrph","P15_len","P16_IRC_ratio","P17_domain_length","P18_SMB_ratio","P19_TLS_ratio","P20_SSH_ratio","P21_MQTT_ratio","P22_TFTP_ratio","P23_NBNS_ratio","P24_TCP_ratio","P25_DCERPC_ratio","P26_ICMP_ratio","P27_DHCP_ratio","P28_UNIQUEDST_count","P29_DST_count",ReqTime,"ip_src"
1,524,0,0,0,0,0,0,0,0,0,0,0,0,0,"1884.1202290076335",0,0,0,0,0,0,0,0,"0.9809160305343512",0,0,0,1,524,1499184000,"1.226.51.14"
2,547,0,0,0,0,0,0,0,0,0,0,0,0,0,"1877.8117001828155",0,0,0,0,0,0,0,0,0,0,0,0,1,547,1499173200,"1.226.51.31"
3,544,0,0,0,0,0,0,0,0,0,0,0,0,0,"1911.6268382352941",0,0,0,0,0,0,0,0,"0.9944852941176471",0,0,0,2,544,1499367600,"1.227.196.21"
4,433,0,0,0,0,0,0,0,0,0,0,0,0,0,"1871.9792147806004",0,0,0,0,0,0,0,0,"0.9976905311778291",0,0,0,1,433,1499274000,"1.234.58.131"
5,2318,0,0,0,0,0,0,0,0,0,0,0,0,0,"1227.653580672994",0,0,0,0,0,0,0,0,"0.9689387402933564",0,0,0,1,2318,1499274000,"1.31.173.11"
6,728,0,0,0,0,0,0,0,0,0,0,0,0,0,"1416.5934065934066",0,0,0,"0.28846153846153844","0.0013736263736263737",0,0,0,"0.7101648351648352",0,0,0,1,728,1499274000,"1.31.173.21"
7,162,0,0,0,0,0,0,0,0,0,0,0,0,0,"1088.4938271604938",0,0,0,"0.1419753086419753",0,0,0,0,"0.8580246913580247",0,0,0,1,162,1499436000,"1.31.173.21"
8,299,0,0,0,0,0,0,0,0,0,0,0,0,0,"1881.1404682274247",0,0,0,"0.27759197324414714",0,0,0,0,"0.7224080267558528",0,0,0,1,299,1499263200,"101.102.235.201"
9,130,0,0,0,0,0,0,0,0,0,0,0,0,0,"1563.5384615384614",0,0,0,"0.25384615384615383","0.015384615384615385",0,0,0,"0.7307692307692307",0,0,0,2,130,1499270400,"101.102.235.201"
10,930,0,0,0,0,0,0,0,0,0,0,0,0,0,"2150.0032258064516",0,0,0,"0.29354838709677417",0,0,0,0,"0.7064516129032258",0,0,0,1,930,1499439600,"101.102.235.201"
11,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,1499097600,"101.254.102.143"
12,152,0,0,0,0,0,0,0,0,0,0,0,0,0,"638.3947368421053",0,0,0,"0.2565789473684211",0,0,0,0,"0.743421052631579",0,0,0,1,152,1499346000,"101.37.178.168"
13,186,0,0,0,0,0,0,0,0,0,0,0,0,0,"794.994623655914",0,0,0,"0.3978494623655914",0,0,0,0,"0.5967741935483871",0,0,0,1,186,1499428800,"101.37.178.168"
14,153,0,0,0,0,0,0,0,0,0,0,0,0,0,"603.0326797385621",0,0,0,"0.3006535947712418",0,0,0,0,"0.6993464052287581",0,0,0,1,153,1499443200,"101.37.178.168"
15,3353,0,0,0,0,0,0,0,0,0,0,0,0,0,"1806.6257083209066",0,0,0,0,0,0,0,0,"0.9925439904563078",0,0,0,1,3353,1499356800,"101.79.208.5"
16,3408,0,0,0,0,0,0,0,0,0,0,0,0,0,"1781.8958333333333",0,0,0,0,0,0,0,0,"0.9950117370892019",0,0,0,1,3408,1499342400,"101.79.208.67"
17,110,0,0,0,0,0,0,0,0,0,0,0,0,0,"1388.9363636363637",0,0,0,"0.11818181818181818",0,0,0,0,"0.8818181818181818",0,0,0,1,110,1499349600,"101.79.209.12"
18,141,0,0,0,0,0,0,0,0,0,0,0,0,0,"292.64539007092196",0,0,0,0,0,0,0,0,"0.14184397163120568",0,0,0,1,141,1499364000,"101.79.210.195"
19,437,0,0,0,0,0,0,0,0,0,0,0,0,0,"1391.75057208238",0,0,0,0,0,0,0,0,"0.8283752860411899",0,0,0,1,437,1499356800,"101.79.210.226"
20,257,0,0,0,0,0,0,0,0,0,0,0,0,0,"1517.4124513618676",0,0,0,0,0,0,0,0,"0.5252918287937743",0,0,0,1,257,1499360400,"101.79.210.226"
21,170,0,0,0,0,0,0,0,0,0,0,0,0,0,"279.8705882352941",0,0,0,0,0,0,0,0,"0.1411764705882353",0,0,0,1,170,1499356800,"101.79.210.5"
22,125,0,0,0,0,0,0,0,0,0,0,0,0,0,"1102.552",0,0,0,"0.192","0.016",0,0,0,"0.792",0,0,0,1,125,1499252400,"101.79.211.140"
23,142,0,0,0,0,0,0,0,0,0,0,0,0,0,"1133.4014084507041",0,0,0,"0.3732394366197183","0.007042253521126761",0,0,0,"0.6197183098591549",0,0,0,1,142,1499270400,"101.79.211.171"
24,111,0,0,0,0,0,0,0,0,0,0,0,0,0,"1373.3513513513512",0,0,0,"0.45045045045045046",0,0,0,0,"0.5495495495495496",0,0,0,1,111,1499346000,"101.79.211.233"
25,175,0,0,0,0,0,0,0,0,0,0,0,0,0,"287.69142857142856",0,0,0,0,0,0,0,0,"0.17142857142857143",0,0,0,1,175,1499104800,"101.79.211.67"
26,259,0,0,0,0,0,0,0,0,0,0,0,0,0,"1542.5675675675675",0,0,0,0,0,0,0,0,"0.525096525096525",0,0,0,1,259,1499356800,"101.79.211.67"
27,178,0,0,0,0,0,0,0,0,0,0,0,0,0,"284.5112359550562",0,0,0,0,0,0,0,0,"0.17415730337078653",0,0,0,1,178,1499356800,"101.79.212.226"
28,117,0,0,0,0,0,0,0,0,0,0,0,0,0,"1384.6666666666667",0,0,0,"0.2564102564102564","0.008547008547008548",0,0,0,"0.7350427350427351",0,0,0,1,117,1499252400,"101.79.212.233"
29,125,0,0,0,0,0,0,0,0,0,0,0,0,0,"1222.408",0,0,0,"0.24","0.016",0,0,0,"0.744",0,0,0,1,125,1499349600,"101.79.212.233"
30,443,0,0,0,0,0,0,0,0,0,0,0,0,0,"1849.6365688487585",0,0,0,0,0,0,0,0,"0.9864559819413092",0,0,0,1,443,1499184000,"101.79.242.133"
