RowNo,"P1_rph","P2_unique_dns_req","P3_domain_rph","P4_avg_rpm","P5_high_req","P6_mx","P7_ptr","P8_dnsserver","P9_TDL","P10_SDL","P11_unique_ratio","P12_nx","P13_flow_ratio","P14_dnsrph","P15_len","P16_IRC_ratio","P17_domain_length","P18_SMB_ratio","P19_TLS_ratio","P20_SSH_ratio","P21_MQTT_ratio","P22_TFTP_ratio","P23_NBNS_ratio","P24_TCP_ratio","P25_DCERPC_ratio","P26_ICMP_ratio","P27_DHCP_ratio","P28_UNIQUEDST_count","P29_DST_count",ReqTime,"ip_src"
1,643,0,0,0,0,0,0,0,0,0,0,0,0,0,"1078.5816485225505",0,0,0,0,0,0,0,0,0,0,0,0,1,643,1313740800,"1.64.135.207"
2,178,0,0,0,0,0,0,0,0,0,0,0,0,0,"1067.7977528089887",0,0,0,0,0,0,0,0,0,0,0,0,1,178,1313740800,"1.64.137.151"
3,5029,0,0,84,3,2718,170,0,0,0,0,13,1,5029,"107.79777291708093",0,0,0,0,0,0,0,0,0,0,0,0,1,5029,1205935200,"10.0.0.254"
4,1153,0,0,20,1,574,99,0,0,0,0,2,1,1153,"104.65307892454467",0,0,0,0,0,0,0,0,0,0,0,0,1,1153,1286402400,"10.0.0.254"
5,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,350,1286402400,"10.0.0.254,10.0.0.1"
6,951,3,1,1,1,0,0,0,3,3,1,0,"0.0031545741324921135",3,"100.8906414300736",0,"15.666666666666666",0,0,"0.004206098843322818",0,0,"0.025236593059936908","0.5993690851735016",0,0,0,24,951,1331172000,"10.0.2.15"
7,516,0,0,0,0,0,0,0,0,0,0,0,0,0,"281.7674418604651",0,0,0,"0.001937984496124031","0.07945736434108527",0,0,"0.5193798449612403","0.16666666666666666",0,0,0,5,516,1348102800,"10.37.130.2"
8,990,5,1,1,2,0,0,0,5,5,"0.8333333333333334",0,"0.01818181818181818",18,"61.981818181818184",0,"16.333333333333332",0,"0.012121212121212121","0.00101010101010101",0,0,"0.005050505050505051","0.906060606060606",0,0,0,22,990,1348102800,"10.37.130.4"
9,611,0,0,0,0,0,0,0,0,0,0,0,0,0,"186.33715220949264",0,0,0,0,0,0,0,0,0,0,0,0,1,611,1276570800,"108.13.34.138"
10,2538,0,0,0,0,0,0,0,0,0,0,0,0,0,"1220.5003940110323",0,0,0,0,0,0,0,0,"0.9700551615445232",0,0,0,1,2538,1349359200,"108.162.197.34"
11,240,0,0,0,0,0,0,0,0,0,0,0,0,0,"1071.2375",0,0,0,0,0,0,0,0,"0.8833333333333333",0,0,0,1,240,1349359200,"108.170.43.99"
12,497,0,0,0,0,0,0,0,0,0,0,0,0,0,"91.37223340040241",0,0,0,0,0,0,0,0,"0.9979879275653923",0,0,0,1,497,1350039600,"108.199.113.22"
13,532,0,0,0,0,0,0,0,0,0,0,0,0,0,"485.04887218045116",0,0,0,"0.17105263157894737",0,0,0,0,"0.8289473684210527",0,0,0,2,532,1349618400,"109.105.109.163"
14,165,0,0,0,0,0,0,0,0,0,0,0,0,0,"944.6969696969697",0,0,0,"0.3212121212121212",0,0,0,0,"0.6787878787878788",0,0,0,1,165,1349640000,"109.105.109.163"
15,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,"1331.0435212660732",0,0,0,0,0,0,0,0,0,0,0,0,1,1011,1276570800,"109.173.41.74"
